MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1739;http://www.wikidata.org/entity/Q969833;https://de.wikipedia.org/wiki/Roswitha_Riess;Roswitha Riess;Riess;04.02.1937 00:00;weiblich;['Politiker'];;
1740;http://www.wikidata.org/entity/Q1222050;https://de.wikipedia.org/wiki/Dieter_G%C3%B6rlitz;Dieter Görlitz;Görlitz;25.02.1937 00:00;männlich;['Politiker'];;
1741;http://www.wikidata.org/entity/Q2597777;https://de.wikipedia.org/wiki/Xaver_Wolf;Xaver Wolf;Wolf;31.03.1937 00:00;männlich;['Politiker'];;
1742;http://www.wikidata.org/entity/Q1485356;https://de.wikipedia.org/wiki/Rudolf_Klinger;Rudolf Klinger;Klinger;10.04.1937 00:00;männlich;['Politiker'];;
1743;http://www.wikidata.org/entity/Q2644472;https://de.wikipedia.org/wiki/Alfons_Urban;Alfons Urban;Urban;10.04.1937 00:00;männlich;['Politiker'];;
1745;http://www.wikidata.org/entity/Q1580815;https://de.wikipedia.org/wiki/Hans_Kolo;Hans Kolo;Kolo;30.04.1937 00:00;männlich;['Politiker'];;
1746;http://www.wikidata.org/entity/Q1512816;https://de.wikipedia.org/wiki/Gerhard_Zech_(Politiker);Gerhard Zech;Zech;19.06.1937 00:00;männlich;['Politiker'];;
1747;http://www.wikidata.org/entity/Q2545088;https://de.wikipedia.org/wiki/Walter_Knauer;Walter Knauer;Knauer;21.06.1937 00:00;männlich;['Politiker'];;
1748;http://www.wikidata.org/entity/Q15435230;https://de.wikipedia.org/wiki/Friedrich_Wei%C3%9Fkopf;Friedrich Weißkopf;Weißkopf;21.06.1937 00:00;männlich;['Politiker'];;
1749;http://www.wikidata.org/entity/Q104716;https://de.wikipedia.org/wiki/Walter_Eykmann;Walter Eykmann;Eykmann;20.08.1937 00:00;männlich;['Hochschullehrer', 'Politiker'];;
1750;http://www.wikidata.org/entity/Q1324900;https://de.wikipedia.org/wiki/Georg_Fickler;Georg Fickler;Fickler;21.08.1937 00:00;männlich;['Politiker'];;
1751;http://www.wikidata.org/entity/Q2696875;https://de.wikipedia.org/wiki/Friedrich_Speth;Friedrich Speth;;25.08.1937 00:00;männlich;['Politiker'];;
1752;http://www.wikidata.org/entity/Q1912484;https://de.wikipedia.org/wiki/Max_Falter;Max Falter;Falter;30.09.1937 00:00;männlich;['Politiker'];;
