_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
356.5203556,,1779640376.19937,1.1390571594238281,237,,,2270.0,,3740
357.4795957,,1779640377.1586583,1.1188795566558838,238,,,2280.0,,3740
358.4291373,,1779640378.1081514,1.165189504623413,239,,,2290.0,,3740
359.3685618,,1779640379.046739,1.1381417512893677,240,,,2300.0,,3740
360.3098072,,1779640379.9885843,1.111708164215088,241,,,2310.0,,3740
361.2746234,,1779640380.9533544,1.125329613685608,242,,,2320.0,,3740
362.2135321,,1779640381.8925493,1.13876211643219,243,,,2330.0,,3740
363.1519351,,1779640382.8306847,1.115932822227478,244,,,2340.0,,3740
364.0984428,,1779640383.7774138,1.127394437789917,245,,,2350.0,,3740
365.0376025,,1779640384.7158504,1.1463946104049683,246,,,2360.0,,3740
365.9993721,,1779640385.6772892,1.126908540725708,247,,,2370.0,,3740
366.987281,,1779640386.665618,1.1240506172180176,248,,,2380.0,,3740
368.0344547,,1779640387.7134683,1.1374115943908691,249,,,2390.0,,3740
369.0260505,,1779640388.7049143,1.1072331666946411,250,,,2400.0,,3740
370.0769952,,1779640389.7557018,1.134671688079834,251,,,2410.0,,3740
371.1416919,,1779640390.8206923,1.1033923625946045,252,,,2420.0,,3740
372.1762897,,1779640391.8546414,1.084204912185669,253,,,2430.0,,3740
373.1813841,,1779640392.8604002,1.1448159217834473,254,,,2440.0,,3740
374.1675365,,1779640393.8462992,1.0931963920593262,255,,,2450.0,,3740
375.1547989,,1779640394.8337772,1.1259748935699463,256,,,2460.0,,3740
376.1543631,,1779640395.8332918,1.0803083181381226,257,,,2470.0,,3740
377.1450609,,1779640396.82313,1.0921787023544312,258,,,2480.0,,3740
378.1282049,,1779640397.8072214,1.100277066230774,259,,,2490.0,,3740
391.6626284,,1779640411.3421493,,260,1.4788037538528442,0.000564423209907245,2500.0,1.006008505821228,3740
391.7703089,,1779640411.4490983,1.0818082094192505,261,,,2500.0,,3740
392.8131621,,1779640412.491249,1.0959877967834473,262,,,2510.0,,3740
393.8591376,,1779640413.5381198,1.086150884628296,263,,,2520.0,,3740
394.8737877,,1779640414.5526843,1.0881274938583374,264,,,2530.0,,3740
395.8628491,,1779640415.5410476,1.0882242918014526,265,,,2540.0,,3740
396.8742979,,1779640416.5533133,1.1032758951187134,266,,,2550.0,,3740
397.8821859,,1779640417.561199,1.0831927061080933,267,,,2560.0,,3740
398.9034791,,1779640418.5824947,1.0772041082382202,268,,,2570.0,,3740
399.9205044,,1779640419.6000257,1.1229668855667114,269,,,2580.0,,3740
400.9112332,,1779640420.5902467,1.0984545946121216,270,,,2590.0,,3740
401.9179867,,1779640421.5963323,1.0982717275619507,271,,,2600.0,,3740
402.9329907,,1779640422.6119826,1.0782926082611084,272,,,2610.0,,3740
404.0042784,,1779640423.6832948,1.0888794660568237,273,,,2620.0,,3740
405.0720515,,1779640424.7509487,1.087812900543213,274,,,2630.0,,3740
406.1018371,,1779640425.7808535,1.0581375360488892,275,,,2640.0,,3740
407.1040978,,1779640426.7831075,1.089738368988037,276,,,2650.0,,3740
408.1268141,,1779640427.8058288,1.0512157678604126,277,,,2660.0,,3740
409.1409613,,1779640428.8194773,1.0890650749206543,278,,,2670.0,,3740
410.1545464,,1779640429.8332758,1.0644844770431519,279,,,2680.0,,3740
411.1641585,,1779640430.843115,1.0941567420959473,280,,,2690.0,,3740
412.1761948,,1779640431.8547864,1.0468823909759521,281,,,2700.0,,3740
413.1785061,,1779640432.8570507,1.0541659593582153,282,,,2710.0,,3740
414.1929401,,1779640433.8719559,1.0516281127929688,283,,,2720.0,,3740
415.251853,,1779640434.93087,1.0606125593185425,284,,,2730.0,,3740
416.3027004,,1779640435.981369,1.0813301801681519,285,,,2740.0,,3740
430.1259304,,1779640449.8044207,,286,1.4951682090759277,0.0004924552772419723,2750.0,0.9710404872894287,3740
430.2285633,,1779640449.9075694,1.0525997877120972,287,,,2750.0,,3740
431.2325377,,1779640450.9114134,1.0733617544174194,288,,,2760.0,,3740
432.223625,,1779640451.9026377,1.0619860887527466,289,,,2770.0,,3740
433.2098552,,1779640452.8888721,1.0368320941925049,290,,,2780.0,,3740
434.1946507,,1779640453.8736637,1.0863717794418335,291,,,2790.0,,3740
435.1910365,,1779640454.8699207,1.0575424432754517,292,,,2800.0,,3740
436.1829737,,1779640455.8619902,1.0780078172683716,293,,,2810.0,,3740
437.2002652,,1779640456.8792799,1.073382019996643,294,,,2820.0,,3740
438.2500292,,1779640457.9290457,1.0829066038131714,295,,,2830.0,,3740
439.291077,,1779640458.9700885,1.0531576871871948,296,,,2840.0,,3740
440.3025648,,1779640459.9808795,1.047506332397461,297,,,2850.0,,3740
441.3009149,,1779640460.9799304,1.0636028051376343,298,,,2860.0,,3740
442.2936705,,1779640461.972687,1.0605298280715942,299,,,2870.0,,3740
443.2766573,,1779640462.9556723,1.052916407585144,300,,,2880.0,,3740
444.2663855,,1779640463.9453998,1.041055679321289,301,,,2890.0,,3740
445.2552308,,1779640464.9340994,1.05929434299469,302,,,2900.0,,3740
446.2409412,,1779640465.919959,1.0632166862487793,303,,,2910.0,,3740
447.2486647,,1779640466.9276776,1.0531281232833862,304,,,2920.0,,3740
448.2849835,,1779640467.9645045,1.0340231657028198,305,,,2930.0,,3740
449.3431564,,1779640469.0213604,1.0448155403137207,306,,,2940.0,,3740
450.3952803,,1779640470.0741925,1.0515385866165161,307,,,2950.0,,3740
451.4540106,,1779640471.133025,1.04672110080719,308,,,2960.0,,3740
452.4746122,,1779640472.153628,1.0246602296829224,309,,,2970.0,,3740
453.4960306,,1779640473.17497,1.0246845483779907,310,,,2980.0,,3740
454.5243823,,1779640474.2033982,1.0193977355957031,311,,,2990.0,,3740
468.3885991,,1779640488.0672874,,312,1.5047662258148193,0.0004219625860160354,3000.0,0.9348311424255371,3740
468.4911333,,1779640488.1698997,1.0482546091079712,313,,,3000.0,,3740
469.480464,,1779640489.159985,1.0519745349884033,314,,,3010.0,,3740
470.4739195,,1779640490.1529367,1.0504471063613892,315,,,3020.0,,3740
471.4862765,,1779640491.1652915,1.0583206415176392,316,,,3030.0,,3740
472.4785261,,1779640492.157542,1.0496511459350586,317,,,3040.0,,3740
473.4661808,,1779640493.145006,1.0446797609329224,318,,,3050.0,,3740
474.464231,,1779640494.1432471,1.0482633113861084,319,,,3060.0,,3740
475.4552735,,1779640495.1339297,1.0460904836654663,320,,,3070.0,,3740
476.4356486,,1779640496.114665,1.0093647241592407,321,,,3080.0,,3740
477.4098769,,1779640497.087785,1.0241200923919678,322,,,3090.0,,3740
478.3946,,1779640498.0735824,1.0550726652145386,323,,,3100.0,,3740
479.3874235,,1779640499.0664394,1.0362379550933838,324,,,3110.0,,3740
480.3757193,,1779640500.054598,1.0361862182617188,325,,,3120.0,,3740
481.3647758,,1779640501.0437925,1.0198839902877808,326,,,3130.0,,3740
482.3789395,,1779640502.057953,1.0266879796981812,327,,,3140.0,,3740
483.4160832,,1779640503.0948517,1.0320897102355957,328,,,3150.0,,3740
484.4855726,,1779640504.1641965,1.0134516954421997,329,,,3160.0,,3740
485.5265938,,1779640505.2056105,1.0186126232147217,330,,,3170.0,,3740
486.5216346,,1779640506.2006497,1.0097938776016235,331,,,3180.0,,3740
487.513539,,1779640507.192555,1.002005934715271,332,,,3190.0,,3740
488.5113525,,1779640508.1902452,1.0343247652053833,333,,,3200.0,,3740
489.5240785,,1779640509.2030737,1.009206771850586,334,,,3210.0,,3740
490.5137385,,1779640510.1927543,1.0014814138412476,335,,,3220.0,,3740
491.4983866,,1779640511.177402,1.0029559135437012,336,,,3230.0,,3740
492.4914055,,1779640512.1704216,1.0202550888061523,337,,,3240.0,,3740
506.3221269,,1779640526.00108,,338,1.5207819938659668,0.00035475231739709885,3250.0,0.8978610038757324,3740
506.4297204,,1779640526.1087356,0.9896337985992432,339,,,3250.0,,3740
507.4768415,,1779640527.1558554,1.0045067071914673,340,,,3260.0,,3740
508.490174,,1779640528.16919,1.0272681713104248,341,,,3270.0,,3740
509.4864885,,1779640529.1654775,1.0071909427642822,342,,,3280.0,,3740
510.4714231,,1779640530.1504378,1.026090145111084,343,,,3290.0,,3740
511.4703527,,1779640531.148284,0.9974668025970459,344,,,3300.0,,3740
512.4635041,,1779640532.1420636,0.9996943473815918,345,,,3310.0,,3740
513.456198,,1779640533.1352136,1.021324634552002,346,,,3320.0,,3740
514.4363135,,1779640534.1153288,0.9905803203582764,347,,,3330.0,,3740
515.426098,,1779640535.1051145,1.0164718627929688,348,,,3340.0,,3740
516.411573,,1779640536.0899858,1.0448991060256958,349,,,3350.0,,3740
517.3956182,,1779640537.074634,1.0004911422729492,350,,,3360.0,,3740
518.3874719,,1779640538.0664885,1.0241039991378784,351,,,3370.0,,3740
519.3705445,,1779640539.0490642,1.0081218481063843,352,,,3380.0,,3740
520.3675403,,1779640540.0465543,0.9990767240524292,353,,,3390.0,,3740
521.3551837,,1779640541.034197,0.9912461042404175,354,,,3400.0,,3740
522.3394614,,1779640542.0184736,0.9834804534912109,355,,,3410.0,,3740
523.3283294,,1779640543.0072393,0.9973656535148621,356,,,3420.0,,3740
524.3187786,,1779640543.9977949,1.0095781087875366,357,,,3430.0,,3740
525.2979046,,1779640544.976815,0.9851703643798828,358,,,3440.0,,3740
526.2908119,,1779640545.9698288,1.0047801733016968,359,,,3450.0,,3740
